,Unnamed: 0,Unnamed: 0.1,desc,file_id_full,file_id_thumb,medium,title,year,cluster_count
263,263,263,"The Doges' Palace Seen from San Giorgio MaggioreClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7882,7881,oil,The Doges' Palace Seen from San Giorgio Maggiore,1908,"{(98, 68, 120): 59784, (211, 183, 162): 241097, (221, 204, 199): 185860, (198, 157, 114): 72407, (153, 122, 157): 65872}"
264,264,264,"The Doges' Palace Seen from San Giorgio Maggiore(also known as San Giorgio)Claude Oscar Monet  (1908)Kunsthaus - ZurichPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7878,7877,oil,The Doges' Palace Seen from San Giorgio Maggiore,1908,"{(141, 106, 126): 82159, (210, 137, 87): 146256, (188, 170, 178): 133403, (197, 148, 133): 218487, (76, 57, 118): 62618}"
265,265,265,"The Doges' Palace Seen from San Giorgio MaggioreClaude Oscar Monet  (1908)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7886,7885,oil,The Doges' Palace Seen from San Giorgio Maggiore,1908,"{(195, 131, 65): 69744, (66, 54, 104): 78186, (181, 154, 170): 227052, (139, 120, 149): 149683, (185, 139, 122): 101190}"
266,266,266,"DolceacquaClaude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6833,6832,oil,Dolceacqua,1884,"{(40, 28, 23): 202785, (70, 68, 45): 188057, (111, 106, 65): 121424, (178, 158, 95): 71003, (92, 128, 159): 115733}"
267,267,267,"Edge of the Cliff, at PourvilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6675,6674,oil,"Edge of the Cliff, at Pourville",1882,"{(120, 140, 193): 174109, (174, 127, 77): 135862, (177, 176, 197): 199028, (68, 52, 24): 94922, (138, 98, 32): 183094}"
268,268,268,"The Effect of Fog near DieppeClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6649,6648,oil,The Effect of Fog near Dieppe,1882,"{(97, 67, 73): 125838, (190, 176, 189): 49723, (159, 140, 149): 388667, (127, 109, 123): 218290, (50, 23, 35): 77842}"
269,269,269,"The Effect of Snow at LimetzClaude Oscar Monet  (1886)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",220287,220286,oil,The Effect of Snow at Limetz,1886,"{(126, 97, 56): 10351, (47, 42, 35): 18559, (111, 128, 162): 17249, (70, 84, 104): 14389, (183, 182, 201): 11752}"
270,270,270,"Entering the Village of Vetheuil in WinterClaude Oscar Monet  (1879)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6453,6452,oil,Entering the Village of Vetheuil in Winter,1879,"{(85, 73, 60): 112625, (190, 183, 199): 295230, (36, 32, 14): 104625, (157, 156, 167): 195967, (121, 116, 117): 110160}"
271,271,271,"Entrance to the Port of TrouvilleClaude Oscar Monet  (1870)SzÃƒÂ©pmÃƒÂ_vÃƒÂ©szeti MÃƒÂºzeum - BudapestPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6078,6077,oil,Entrance to the Port of Trouville,1870,"{(46, 19, 17): 62664, (98, 61, 37): 65128, (210, 182, 122): 140141, (211, 205, 207): 561643, (190, 129, 65): 74354}"
272,272,272,"The Esterel MountainsClaude Oscar Monet  (1888)The Courtauld Gallery - LondonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7134,7133,oil,The Esterel Mountains,1888,"{(134, 81, 48): 47418, (168, 184, 215): 237987, (115, 143, 203): 257571, (76, 88, 139): 94135, (43, 30, 34): 113457}"
273,273,273,"Etretat - Amont Cliff, Rough WeatherClaude Oscar Monet  (1884-1886)Private collectionDrawing - pastelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8204,8203,pastel,"Etretat - Amont Cliff, Rough Weather",1884-1886,"{(221, 209, 205): 195195, (144, 147, 161): 132946, (213, 170, 137): 189250, (97, 67, 51): 34609, (121, 113, 122): 120174}"
274,274,274,"Etretat in the RainClaude Oscar Monet  (1885-1886)Nasjonalmuseet for Kunst, Arkitektur og DesignPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6973,6972,oil,Etretat in the Rain,1885-1886,"{(63, 69, 45): 98546, (165, 171, 178): 340010, (135, 146, 142): 222578, (89, 112, 114): 137003, (115, 123, 77): 112895}"
275,275,275,"Etretat, La Porte d'Aval:  Fishing Boats Leaving the HarbourClaude Oscar Monet  (1885)MusÃƒÂ©e des Beaux-Arts de DijonPainting - oil on canvasUploaded Saturday, 14 December 2013 by member kohn1foxPublic domain",396562,396561,oil,"Etretat, La Porte d'Aval:  Fishing Boats Leaving the Harbour",1885,"{(149, 170, 206): 19820, (198, 195, 209): 15099, (131, 146, 165): 16725, (52, 56, 69): 5683, (97, 102, 115): 9273}"
276,276,276,"Etretat, Rough SeaClaude Oscar Monet  (1883)MusÃƒÂ©e des Beaux-Arts de LyonPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6729,6728,oil,"Etretat, Rough Sea",1883,"{(51, 42, 17): 102349, (196, 187, 149): 113254, (116, 96, 47): 155007, (150, 143, 104): 174409, (159, 178, 202): 145413}"
277,277,277,"Etretat, The Arch, and the Aval CliffClaude Oscar Monet  (1885)MusÃƒÂ©e Marmottan MonetDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154520,154519,pastel,"Etretat, The Arch, and the Aval Cliff",1885,"{(121, 194, 142): 14651, (101, 201, 202): 10654, (137, 134, 74): 6482, (7, 26, 67): 13271, (231, 148, 68): 6842}"
278,278,278,"Etretat, the Cap d'AntiferClaude Oscar Monet  (1885)Private collectionDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154529,154528,pastel,"Etretat, the Cap d'Antifer",1885,"{(48, 58, 40): 19570, (208, 174, 141): 4555, (112, 85, 18): 17697, (210, 218, 235): 24219, (96, 126, 177): 4759}"
279,279,279,"Etretat, the Manneporte at Low TideClaude Oscar Monet  (1885)Private collectionDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154478,154477,pastel,"Etretat, the Manneporte at Low Tide",1885,"{(29, 33, 44): 8998, (65, 69, 93): 16772, (168, 174, 202): 9399, (239, 213, 137): 18442, (96, 99, 127): 9389}"
280,280,280,"Etretat, the Needle Rock and Porte d'AvalClaude Oscar Monet  (1885)Private collectionDrawing - pastelUploaded Tuesday, 14 February 2012 by member rocsdadPublic domain",154526,154525,pastel,"Etretat, the Needle Rock and Porte d'Aval",1885,"{(43, 20, 27): 15704, (70, 64, 92): 4071, (174, 181, 209): 8302, (85, 132, 239): 10246, (229, 232, 235): 14177}"
281,281,281,"Etretat, the Needle Rock and the Porte d'Aval, SunsetClaude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Tuesday, 10 July 2012 by member Baker's DozenPublic domain",187803,187802,oil,"Etretat, the Needle Rock and the Porte d'Aval, Sunset",1883,"{(22, 54, 98): 11097, (84, 125, 183): 19784, (146, 182, 171): 13161, (122, 179, 232): 16065, (172, 146, 110): 4393}"
282,282,282,"Etretat, the Porte d'AvalClaude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6955,6954,oil,"Etretat, the Porte d'Aval",1885,"{(122, 124, 112): 169058, (130, 145, 190): 153840, (214, 182, 157): 168936, (68, 44, 63): 103540, (215, 213, 220): 374437}"
283,283,283,"Evening at ArgenteuilClaude Oscar Monet  (1876)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6375,6374,oil,Evening at Argenteuil,1876,"{(208, 149, 62): 72388, (193, 171, 113): 112004, (142, 122, 81): 156918, (46, 31, 18): 133528, (92, 69, 36): 250858}"
284,284,284,"Evening Effect of the SeineClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6633,6632,oil,Evening Effect of the Seine,1881,"{(210, 177, 148): 263988, (192, 146, 104): 181336, (141, 102, 79): 100159, (34, 16, 17): 130525, (87, 58, 47): 96211}"
285,285,285,"Evening in the Meadow at Giverny (detail)Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7146,7145,oil,Evening in the Meadow at Giverny (detail),1888,"{(235, 205, 153): 146608, (217, 166, 53): 245139, (52, 45, 16): 204958, (146, 108, 20): 229437, (123, 120, 129): 88288}"
286,286,286,"Exterior of Saint-Lazare Station(also known as The Signal)Claude Oscar Monet  (1877)NiedersÃƒÂ_chsisches LandesmuseumPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6399,6398,oil,Exterior of Saint-Lazare Station,1877,"{(145, 86, 37): 175791, (185, 145, 137): 188580, (91, 63, 50): 191842, (146, 109, 100): 211301, (35, 26, 21): 132998}"
287,287,287,"Exterior of Saint-Lazare Station, Sunlight EffectClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6389,6388,oil,"Exterior of Saint-Lazare Station, Sunlight Effect",1877,"{(47, 38, 20): 113476, (120, 84, 35): 165233, (164, 139, 88): 168572, (202, 126, 18): 202200, (212, 167, 79): 208659}"
288,288,288,"Exterior of the Saint-Lazare Station, Arrival of a TrainClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6391,6390,oil,"Exterior of the Saint-Lazare Station, Arrival of a Train",1877,"{(122, 110, 117): 190438, (166, 160, 200): 204122, (146, 136, 163): 296534, (86, 75, 61): 132804, (27, 31, 25): 90521}"
289,289,289,"Exterior View of the Saint-Lazare StationClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6397,6396,oil,Exterior View of the Saint-Lazare Station,1877,"{(136, 124, 129): 211621, (37, 45, 45): 190734, (80, 84, 93): 194195, (195, 172, 161): 214997, (113, 79, 47): 91533}"
290,290,290,"Farm near HonfleurClaude Oscar Monet  (1864)Private collectionPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5982,5981,oil,Farm near Honfleur,1864,"{(236, 205, 186): 415130, (58, 19, 13): 105235, (173, 110, 55): 89606, (111, 58, 27): 190308, (125, 103, 19): 230338}"
291,291,291,"FarmyardClaude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6437,6436,oil,Farmyard,1878,"{(198, 174, 129): 63417, (115, 90, 43): 195471, (74, 54, 24): 247134, (152, 126, 83): 152149, (32, 22, 9): 216469}"
292,292,292,"Farmyard in NormandyClaude Oscar Monet  (1863)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5956,5955,oil,Farmyard in Normandy,1863,"{(55, 37, 13): 162808, (90, 70, 14): 208481, (147, 84, 20): 119335, (203, 148, 51): 31568, (209, 207, 183): 158928}"
293,293,293,"Fecamp, by the SeaClaude Oscar Monet  (1881)MusÃƒÂ©e d'art moderne AndrÃƒÂ© MalrauxPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6569,6568,oil,"Fecamp, by the Sea",1881,"{(159, 150, 123): 185212, (117, 68, 26): 83432, (98, 89, 77): 148504, (125, 118, 102): 305332, (61, 41, 22): 88356}"
294,294,294,"Fete at ArgenteuilClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6189,6188,oil,Fete at Argenteuil,1872,"{(42, 18, 17): 97012, (83, 54, 23): 108821, (171, 170, 170): 72021, (123, 89, 24): 97148, (151, 127, 100): 39195}"
295,295,295,"A Field at GennevilliersClaude Oscar Monet  (1877)Private collectionPainting - oil on canvasUploaded Wednesday, 29 March 2006 by member rocsdadPublic domain",53226,53225,oil,A Field at Gennevilliers,1877,"{(135, 134, 16): 171213, (122, 138, 90): 86292, (205, 224, 185): 191170, (63, 92, 14): 196634, (159, 186, 162): 110721}"
296,296,296,"Field of Tulips in HollandClaude Oscar Monet  (1886)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6996,6995,oil,Field of Tulips in Holland,1886,"{(205, 191, 181): 249056, (46, 29, 15): 138889, (102, 133, 206): 101531, (171, 114, 58): 69445, (126, 45, 22): 116905}"
297,297,297,"Fields of Flowers and Windmills near LeidenClaude Oscar Monet  (1886)Stedelijk Museum AmsterdamPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6998,6997,oil,Fields of Flowers and Windmills near Leiden,1886,"{(177, 150, 134): 284109, (198, 91, 25): 106347, (211, 161, 111): 254925, (133, 61, 22): 142668, (68, 32, 9): 96879}"
298,298,298,"Fisherman's Cottage at VarengevilleClaude Oscar Monet  (1882)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6713,6712,oil,Fisherman's Cottage at Varengeville,1882,"{(133, 135, 112): 121023, (194, 128, 53): 113760, (193, 189, 194): 232501, (114, 88, 34): 193013, (44, 30, 13): 150795}"
299,299,299,"The Fisherman's House at VarengevilleClaude Oscar Monet  (1882)Museum Boijmans Van BeuningenPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6661,6660,oil,The Fisherman's House at Varengeville,1882,"{(202, 152, 71): 134479, (167, 174, 163): 176370, (113, 136, 133): 145649, (141, 100, 28): 164645, (57, 45, 14): 83624}"
300,300,300,"Fishing BoatsClaude Oscar Monet  (1885)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6961,6960,oil,Fishing Boats,1885,"{(166, 173, 172): 106139, (155, 107, 63): 62973, (27, 21, 19): 85316, (91, 71, 51): 80178, (124, 132, 131): 167794}"
301,301,301,"Fishing BoatsClaude Oscar Monet  (1884)Wallraf-Richartz-Museum & Fondation CorboudPainting - oil on canvasUploaded Saturday, 14 December 2013 by member kohn1foxPublic domain",396553,396552,oil,Fishing Boats,1884,"{(148, 132, 95): 16333, (33, 32, 17): 10013, (99, 84, 52): 15067, (229, 223, 203): 13168, (196, 186, 158): 10819}"
302,302,302,"Fishing Boats at EtretatClaude Oscar Monet  (1883)Private collectionPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6733,6732,oil,Fishing Boats at Etretat,1883,"{(38, 16, 27): 115962, (137, 90, 96): 89687, (189, 168, 169): 291583, (163, 140, 145): 254723, (85, 45, 52): 106681}"
303,303,303,"Fishing Boats at PourvilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6643,6642,oil,Fishing Boats at Pourville,1882,"{(137, 125, 84): 129808, (107, 89, 48): 56966, (170, 171, 162): 171101, (136, 143, 139): 183449, (165, 156, 118): 150964}"
304,304,304,"Fishing Boats at SeaClaude Oscar Monet  (1868-1869)Hill-Stead Museum - Farmington, CtPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6038,6037,oil,Fishing Boats at Sea,1868-1869,"{(64, 155, 40): 244986, (176, 168, 141): 150441, (207, 205, 184): 69843, (105, 150, 144): 223110, (57, 39, 12): 125644}"
305,305,305,"Fishing Boats by the Beach and the Cliffs of PourvilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6701,6700,oil,Fishing Boats by the Beach and the Cliffs of Pourville,1882,"{(127, 81, 89): 112369, (51, 35, 55): 53114, (135, 133, 143): 245730, (184, 179, 156): 113821, (96, 98, 129): 169244}"
306,306,306,"Fishing Boats, Calm WeatherClaude Oscar Monet  (1868)Private collectionPainting - oil on canvasUploaded Sunday, 18 November 2012 by member rocsdadPublic domain",253793,253792,oil,"Fishing Boats, Calm Weather",1868,"{(152, 193, 186): 15552, (76, 68, 59): 9195, (141, 130, 131): 12755, (86, 150, 143): 9190, (208, 224, 227): 28008}"
307,307,307,"Fishing Boats in HonfleurClaude Oscar Monet  (1868)Museu e FundaÃƒÂ§ÃƒÂ£o Calouste GulbenkianPainting - oil on canvasUploaded Saturday, 14 December 2013 by member kohn1foxPublic domain",396301,396300,oil,Fishing Boats in Honfleur,1868,"{(105, 92, 86): 11447, (64, 52, 44): 14514, (152, 143, 152): 14596, (199, 193, 190): 13176, (23, 20, 19): 18267}"
308,308,308,"Fishing Boats Leaving the Port of Le HavreClaude Oscar Monet  (1874)Los Angeles County Museum of ArtPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6253,6252,oil,Fishing Boats Leaving the Port of Le Havre,1874,"{(200, 209, 193): 149055, (96, 90, 81): 93458, (136, 135, 122): 141102, (164, 172, 163): 146496, (43, 34, 25): 68868}"
309,309,309,"Fishing Boats off PourvilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6641,6640,oil,Fishing Boats off Pourville,1882,"{(104, 120, 118): 81448, (133, 145, 149): 223481, (50, 23, 55): 62570, (184, 184, 179): 180701, (159, 164, 163): 271979}"
310,310,310,"Fishing Boats (study)Claude Oscar Monet  (1866)Private collectionPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5912,5911,oil,Fishing Boats (study),1866,"{(154, 127, 106): 82594, (131, 70, 39): 104307, (70, 33, 32): 224213, (200, 183, 164): 166361, (29, 12, 19): 343333}"
311,311,311,"Fishing Nets at PourvilleClaude Oscar Monet  (1882)Gemeentemuseum Den HaagPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6689,6688,oil,Fishing Nets at Pourville,1882,"{(147, 140, 163): 176640, (27, 29, 47): 148977, (189, 168, 170): 177848, (150, 121, 110): 177390, (93, 81, 86): 144708}"
312,312,312,"The Fjord, near ChristianiaClaude Oscar Monet  (1895)Private collectionPainting - oil on canvasUploaded Friday, 20 January 2006 by member rocsdadPublic domain",51300,51299,oil,"The Fjord, near Christiania",1895,"{(219, 187, 151): 175861, (61, 63, 55): 23555, (182, 196, 203): 73436, (177, 159, 149): 247652, (107, 124, 137): 159869}"
313,313,313,"Floating IceClaude Oscar Monet  (1880)Shelburne Museum, VTPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6505,6504,oil,Floating Ice,1880,"{(92, 74, 117): 48786, (213, 202, 205): 288407, (166, 173, 206): 164231, (158, 121, 143): 94788, (204, 167, 161): 144980}"
314,314,314,"Floating IceClaude Oscar Monet  (1880)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6503,6502,oil,Floating Ice,1880,"{(85, 54, 34): 62764, (215, 186, 161): 223807, (159, 144, 130): 105371, (212, 153, 105): 153868, (157, 99, 63): 111390}"
315,315,315,"Floating Ice at BennecourtClaude Oscar Monet  (1893)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7322,7321,oil,Floating Ice at Bennecourt,1893,"{(216, 194, 155): 121177, (142, 146, 161): 73604, (216, 215, 211): 278274, (183, 185, 199): 189443, (203, 165, 87): 54826}"
316,316,316,"Floating Ice near BennecourtClaude Oscar Monet  (1893)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7326,7325,oil,Floating Ice near Bennecourt,1893,"{(165, 135, 93): 95553, (185, 190, 189): 220771, (198, 182, 153): 125835, (142, 176, 215): 180621, (132, 144, 166): 184232}"
317,317,317,"Floating Ice on the SeineClaude Oscar Monet  (1893)Private collectionPainting - oil on canvasUploaded Friday, 8 November 2013 by member JosselinPublic domain",396610,396609,oil,Floating Ice on the Seine,1893,"{(212, 203, 188): 13214, (199, 192, 178): 13806, (137, 153, 148): 5043, (178, 180, 173): 13951, (165, 168, 157): 11286}"
318,318,318,"Floes at BennecourtClaude Oscar Monet  (1893)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7320,7319,oil,Floes at Bennecourt,1893,"{(187, 181, 201): 162957, (75, 82, 128): 56973, (213, 209, 219): 185682, (112, 115, 166): 98162, (152, 150, 185): 116286}"
319,319,319,"Flood at GivernyClaude Oscar Monet  (1896-1897)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7424,7423,oil,Flood at Giverny,1896-1897,"{(139, 125, 145): 161523, (90, 63, 51): 25381, (117, 101, 110): 103465, (165, 149, 164): 225069, (187, 173, 176): 238461}"
320,320,320,"The Flood of the Seine at VetheuilClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6557,6556,oil,The Flood of the Seine at Vetheuil,1881,"{(56, 26, 38): 150266, (193, 172, 190): 295600, (110, 76, 86): 148282, (95, 95, 161): 116638, (153, 138, 171): 280222}"
321,321,321,"Flood Waters(also known as l'Inondation)Claude Oscar Monet  (1896)National Gallery - LondonPainting - oil on canvasUploaded Tuesday, 9 July 2013 by member kohn1foxPublic domain",332221,332220,oil,Flood Waters,1896,"{(127, 129, 113): 22581, (147, 145, 126): 15314, (111, 116, 99): 19891, (97, 97, 79): 7689, (175, 168, 143): 5925}"
322,322,322,"Flowerbeds at VetheuilClaude Oscar Monet  (1881)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Monday, 5 August 2013 by member kohn1foxPublic domain",343136,343135,oil,Flowerbeds at Vetheuil,1881,"{(141, 137, 116): 11921, (80, 101, 82): 10699, (48, 69, 41): 16437, (146, 110, 27): 9674, (180, 168, 144): 22369}"
323,323,323,"The Flowered Arches at GivernyClaude Oscar Monet  (1913)Phoenix Art MuseumPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",7924,7923,oil,The Flowered Arches at Giverny,1913,"{(140, 74, 10): 66307, (77, 80, 16): 325085, (164, 179, 86): 135116, (48, 44, 4): 249173, (111, 115, 51): 184121}"
324,324,324,"The Flowered GardenClaude Oscar Monet  (1901-1902)Private collectionPainting - oil on canvasUploaded Tuesday, 21 January 2003 by member rocsdadPublic domain",7714,7713,oil,The Flowered Garden,1901-1902,"{(94, 57, 40): 396750, (183, 101, 31): 159274, (219, 165, 115): 97065, (45, 25, 17): 404129, (123, 93, 103): 172179}"
325,325,325,"Flowering Trees near the CoastClaude Oscar Monet  (1920-1926)Private collectionPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8150,8149,oil,Flowering Trees near the Coast,1920-1926,"{(215, 49, 44): 204245, (90, 30, 34): 144003, (142, 115, 127): 204420, (229, 145, 112): 268536, (203, 182, 189): 212312}"
326,326,326,"Flowers and FruitClaude Oscar Monet  (1869)J. Paul Getty Museum - Los AngelesPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6058,6057,oil,Flowers and Fruit,1869,"{(181, 177, 194): 86748, (198, 129, 27): 49128, (133, 114, 119): 56091, (117, 60, 30): 133562, (46, 29, 29): 384247}"
327,327,327,"Flowers at VetheuilClaude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6607,6606,oil,Flowers at Vetheuil,1881,"{(45, 42, 13): 159442, (91, 99, 38): 267143, (198, 178, 144): 188579, (177, 115, 25): 99337, (140, 136, 86): 201841}"
328,328,328,"Flowers in a Pot(also known as Roses and Baby's Breath)Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Wednesday, 1 March 2006 by member rocsdadPublic domain",52336,52335,oil,Flowers in a Pot,1878,"{(129, 136, 112): 142649, (185, 179, 65): 106151, (115, 97, 41): 191000, (197, 207, 171): 92586, (54, 38, 24): 116521}"
329,329,329,"Fog EffectClaude Oscar Monet  (1872)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6199,6198,oil,Fog Effect,1872,"{(201, 174, 133): 290280, (137, 56, 11): 136496, (133, 92, 57): 113485, (87, 31, 12): 84088, (172, 145, 111): 177473}"
330,330,330,"The 'Fonds' at VarengevilleClaude Oscar Monet  (1882)Private collectionPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6709,6708,oil,The 'Fonds' at Varengeville,1882,"{(190, 136, 65): 164077, (206, 191, 172): 271776, (152, 90, 26): 215840, (80, 37, 15): 105467, (150, 157, 197): 263680}"
331,331,331,"Fontainebleau ForestClaude Oscar Monet  (1865)Kunstmuseum WinterthurPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6006,6005,oil,Fontainebleau Forest,1865,"{(72, 52, 18): 162190, (171, 113, 9): 44874, (112, 83, 15): 109748, (39, 25, 7): 141065, (158, 140, 112): 12523}"
332,332,332,"The Footbridge over the Water-Lily PoneClaude Oscar Monet  (1919)Kunstmuseum BaselPainting - oil on canvasUploaded Friday, 24 January 2003 by member rocsdadPublic domain",8104,8103,oil,The Footbridge over the Water-Lily Pone,1919,"{(198, 123, 10): 83549, (174, 145, 83): 38566, (47, 32, 6): 153919, (136, 89, 13): 166075, (90, 63, 12): 216787}"
333,333,333,"Four Poplars on the Banks of the Epte RiverClaude Oscar Monet  (1891)Metropolitan Museum of Art - New York, NYPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7282,7281,oil,Four Poplars on the Banks of the Epte River,1891,"{(76, 51, 39): 135801, (212, 216, 220): 438139, (197, 183, 161): 158562, (216, 173, 48): 80414, (118, 98, 124): 150424}"
334,334,334,"FrostClaude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 14 December 2013 by member kohn1foxPublic domain",396568,396567,oil,Frost,1885,"{(112, 119, 124): 10487, (72, 74, 78): 3961, (167, 180, 182): 18096, (195, 210, 206): 16649, (141, 151, 155): 16807}"
335,335,335,"FrostClaude Oscar Monet  (1879)MusÃƒÂ©e d'OrsayPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6491,6490,oil,Frost,1879,"{(200, 150, 93): 179487, (174, 141, 113): 121563, (166, 116, 67): 110810, (105, 52, 26): 23301, (209, 169, 122): 237049}"
336,336,336,"FrostClaude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 18 September 2005 by member rocsdadPublic domain",46806,46805,oil,Frost,1875,"{(191, 184, 140): 145876, (131, 128, 95): 189806, (108, 151, 198): 197016, (197, 222, 228): 236411, (48, 70, 66): 112744}"
337,337,337,"Fruit Basket with Apples and GrapesClaude Oscar Monet  (1879)Metropolitan Museum of Art - New York, NYPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6481,6480,oil,Fruit Basket with Apples and Grapes,1879,"{(215, 208, 193): 178522, (163, 147, 134): 103390, (24, 20, 20): 350816, (101, 57, 34): 133748, (179, 112, 37): 88454}"
338,338,338,"Fruit TreesClaude Oscar Monet  (1865-1875)Private collectionDrawing - pastelUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8210,8209,pastel,Fruit Trees,1865-1875,"{(99, 174, 207): 103510, (164, 140, 80): 62651, (125, 94, 14): 264705, (152, 163, 7): 194805, (85, 39, 6): 166379}"
